addyi@SoftwareCity_SqComponentTreeUriBuilderTest<>NullPathIsAppendedCorrect,false
microsoft@MixedRealityToolkit-Unity_InteractiveElementTests<>TestTouchEventConfiguration,false
ExtendRealityLtd@Zinnia.Unity_GameObjectObservableListMock<>IsListEmptyIsEmpty,false
Unity-Technologies@InputSystem_CoreTests<>Actions_InteractiveRebinding_CanBeRestrictedToSpecificControlPaths,false
Unity-Technologies@InputSystem_MonoBehaviourWithActionProperty<>Actions_CannotAddControlSchemeWithDuplicateNameToAsset,false
iamtomhewitt@vr-pacman_GameObjectManagerTest<>CanMakeGhostsEdibleButNotIfTheyAreRunningHome,false
XRTK@XRTK-Core_TestFixture_01_MixedRealityToolkitTests<>Test_04_08_GetMixedRealityDataProviderCollectionByInterface,false
microsoft@MixedRealityToolkit-Unity_BoundingBoxTests<>SetTarget,false
Unity-Technologies@InputSystem_CustomInvertProcessor<>Layouts_RegisteringLayoutBuilder_WithMatcher_StillGivesPrecedenceToTypeAndJSONLayouts,false
Unity-Technologies@InputSystem_DeviceWithoutAnyControls<>Controls_ReferToTheirDevices,false
Unity-Technologies@InputSystem_iOSTests<>Devices_SupportsiOSSensors,false
microsoft@MixedReality-WebRTC_MultiConfig<>SingleTwoWays,false
iamtomhewitt@vr-pacman_AudioManagerTests<>AudioManagerPausesSound,false
ExtendRealityLtd@Zinnia.Unity_CollisionPointContainerTest<>SetOnlyOnce,false
microsoft@MixedRealityToolkit-Unity_TestCollisionListener<>ObjectManipulatorRotateHeadGGV,false
microsoft@MixedRealityToolkit-Unity_HandCoachTests<>TestHandCoachLifetimeWhenTracked,false
ExtendRealityLtd@Zinnia.Unity_SlicerTest<>SliceLastElement,false
Unity-Technologies@InputSystem_HIDTests<>Devices_CanCreateGenericHID_FromDeviceWithBinaryReportDescriptor,false
ExtendRealityLtd@Zinnia.Unity_ActiveCollisionRegisteredConsumerContainerExtendedMock<>RegisterAndPublishWithIgnored,false
pcriadoperez@readyPlayer2_TransformExtensionsTests<>IterateNull,false
microsoft@MixedRealityToolkit-Unity_SlateTests<>PrefabScrollUpLimited,false
Unity-Technologies@InputSystem_MonoBehaviourWithEmbeddedActionMap<>Editor_DomainReload_PreservesEnabledState,false
Unity-Technologies@InputSystem_ScopedExclusionPropertyAttribute<>API_FieldsAreNotIntPtr,false
ExtendRealityLtd@Zinnia.Unity_FloatToBooleanTest<>TransformInactiveComponent,false
Unity-Technologies@InputSystem_PreProcessorTestDevice<>TODO_Devices_CanHijackEventStreamOfDevice,false
ExtendRealityLtd@Zinnia.Unity_MeshStateModifierTest<>ShowMeshInChildrenInactiveComponent,false
Unity-Technologies@InputSystem_PreProcessorTestDevice<>Devices_CanCreateDevice_WithNestedState,false
ExtendRealityLtd@Zinnia.Unity_ComponentEnabledStateModifierTest<>SetEnabledStateOfInvalidType,false
ExtendRealityLtd@Zinnia.Unity_MockProcessable<>Process,false
addyi@SoftwareCity_SqComponentTreeUriBuilderTest<>PageIsNotZero,false
Unity-Technologies@InputSystem_MonoBehaviourWithActionProperty<>Actions_CannotAddControlSchemeWithoutName,false
stefaanvermassen@virtual-museum-app_AddInfoTest<>Save_SaveInfo_InfoUnchanged,false
ExtendRealityLtd@Zinnia.Unity_ObjectPointerMock<>DestinationAlwaysVisible,false
ExtendRealityLtd@Zinnia.Unity_StraightLineCastMock<>CastPointsValidTarget,false
watson-developer-cloud@unity-sdk_SpeechToTextV1IntegrationTests<>WaitForAcousticModel,false
