project,smellname,percentage
11-VRapp@VR-project,AssertionRoulette,-0.001
39M@M,AssertionRoulette,22.727272727272727
3Glasses@UnitySDK,AssertionRoulette,-0.001
A11YTK@A11YTK,AssertionRoulette,75.0
addyi@SoftwareCity,AssertionRoulette,12.5
AdrianBZG@Medieval_Warfare_VR-Unity,AssertionRoulette,-0.001
aggie-coding-club@the-brute-vr,AssertionRoulette,-0.001
aidie8@VRHamsterBall,AssertionRoulette,-0.001
alanbrilliant@MolecularZoo,AssertionRoulette,-0.001
alexnaraghi@clash-of-clones,AssertionRoulette,-0.001
AmigoCap@ReViVD,AssertionRoulette,-0.001
AndreasRoither@Virtual-interaction-library,AssertionRoulette,-0.001
AndroidHMD@TowerVR,AssertionRoulette,-0.001
AryanJ11@Savinodam,AssertionRoulette,-0.001
Auros@SiraUtil,AssertionRoulette,-0.001
Barliesque@HandsOnVR,AssertionRoulette,-0.001
BioMotionLab@TUX,AssertionRoulette,0.0
Bitslo@CableGuardian,AssertionRoulette,-0.001
BIVROST@360PlayerWindows,AssertionRoulette,-0.001
BocuD@VRBuildHelper,AssertionRoulette,-0.001
BOLL7708@OpenVRNotificationPipe,AssertionRoulette,-0.001
Breality@ICS4U-FSEV2,AssertionRoulette,38.297872340425535
CallumHoughton18@ChemViewAR,AssertionRoulette,-0.001
CapsuleEndoscope@VirtualCapsuleEndoscopy,AssertionRoulette,-0.001
ChanyaVRC@VRCOscLib,AssertionRoulette,60.0
ChristophGeske@ARCoreInsideOutTrackingGearVr,AssertionRoulette,-0.001
CircuitLord@NotReaper,AssertionRoulette,-0.001
Codel1417@VRC-OSC-Audio-Reaction,AssertionRoulette,-0.001
CognitiveVR@cvr-sdk-unity,AssertionRoulette,-0.001
CRamsan@BattleVR,AssertionRoulette,-0.001
CrispthoAlex@holbertonschool-unity,AssertionRoulette,59.375
CS4240-Group6@ProjectNurture,AssertionRoulette,-0.001
DrBibop@RoR2VRMod,AssertionRoulette,-0.001
DroidBarber@ProjetCoursVirtuel,AssertionRoulette,-0.001
DSprtn@GTFO_VR_Plugin,AssertionRoulette,-0.001
Eclmist@Snowfield-VR,AssertionRoulette,-0.001
EliaFantini@RocketMan-a-VR-videogame-created-with-Unity,AssertionRoulette,-0.001
ErickSimoes@EscapeMuseumVR,AssertionRoulette,-0.001
Eusth@VRGIN,AssertionRoulette,-0.001
ExtendRealityLtd@VRTK,AssertionRoulette,-0.001
ExtendRealityLtd@Zinnia.Unity,AssertionRoulette,89.85745614035088
Faceplant-Games@epicslash,AssertionRoulette,-0.001
Facepunch@sbox-tabletennis-vr,AssertionRoulette,-0.001
FarahKamleh@Group4.Project3,AssertionRoulette,45.0
FarahKamleh@Pokemon-Themed-Kiosk-VR,AssertionRoulette,-0.001
FireEmerald@VRLabyrinth,AssertionRoulette,-0.001
GameLabGraz@Maroon,AssertionRoulette,0.0
Geetchopra@TheGameOfPoles,AssertionRoulette,-0.001
HalcyonGrid@halcyon,AssertionRoulette,54.285714285714285
HousekeepersStudio@OpendagVR2,AssertionRoulette,-0.001
I5UCC@VRC-ASL_Gestures,AssertionRoulette,-0.001
IanPhilips@UnityOculusAndroidVRBrowser,AssertionRoulette,-0.001
ImmersiveAnalyticsUNCC@Immersive.Unity.Vis,AssertionRoulette,-0.001
Innoactive@Creator,AssertionRoulette,39.735099337748345
Jamy4000@VRDF,AssertionRoulette,-0.001
JosephOHagan@SVRA,AssertionRoulette,-0.001
JoshLmao@DotA-Clicker-VR,AssertionRoulette,-0.001
Joshuarox100@VRC-Inventory-Inventor,AssertionRoulette,-0.001
JPMMaia@interactive-collaboration-platform-in-AR,AssertionRoulette,0.0
JScott@ViveGrip,AssertionRoulette,-0.001
JuanOlaya@Virtual-Reality,AssertionRoulette,-0.001
KandoozStudio@Kinteractions-VR,AssertionRoulette,-0.001
Kiarostami@Situated-Empathy-in-VR,AssertionRoulette,-0.001
KospY@BasSDK,AssertionRoulette,84.21052631578947
Louis-de-Lavenne-de-Choulot@ALGOSUP_2022_Project_4_F,AssertionRoulette,-0.001
M0000000N@KGA_SUPERmetaVR,AssertionRoulette,-0.001
MaddieFish@Echoes-of-the-Tides,AssertionRoulette,-0.001
MartinHahner@VR_GAME_2017,AssertionRoulette,-0.001
Mastergalen@Supermarket-Sim,AssertionRoulette,-0.001
Math0424@SpaceEngineersVR,AssertionRoulette,-0.001
MatthewSloyan@final-year-applied-project-and-minor-dissertation,AssertionRoulette,0.0
Mayor-Cam@VR-Disk-Wars,AssertionRoulette,-0.001
MayouKurayami@KK_CyuVR,AssertionRoulette,-0.001
MayouKurayami@KK_SetParentVR,AssertionRoulette,-0.001
MinadukiSekina@VRCToolBox,AssertionRoulette,-0.001
MirianaMartini@VANGogh,AssertionRoulette,-0.001
MoonMotionProject@MoonMotion,AssertionRoulette,-0.001
MozillaReality@FirefoxRealityPC,AssertionRoulette,-0.001
MPIB@arc-vr,AssertionRoulette,-0.001
NathanJVella@VR-Space-Game,AssertionRoulette,-0.001
NgoJunHaoJason@CZ4001,AssertionRoulette,-0.001
Noxalus@VR-Escape-Room,AssertionRoulette,-0.001
Oscheibe@ARIndoorNav,AssertionRoulette,-0.001
OSVR@OSVR-Unity,AssertionRoulette,-0.001
OSVR@OSVR-Unity-Palace-Demo,AssertionRoulette,-0.001
PastaTime@DataRepVR,AssertionRoulette,10.0
PfeifferMicha@imhotep,AssertionRoulette,-0.001
PierreGe@VR-Picture-Browser,AssertionRoulette,-0.001
PKBeam@Edda,AssertionRoulette,-0.001
POINT-VR@POINT-VR-Chapter-1,AssertionRoulette,-0.001
Rafapp@SJSU-MaterialsEngineering-VR-lab,AssertionRoulette,-0.001
Raicuparta@nomai-vr,AssertionRoulette,-0.001
Raicuparta@two-forks-vr,AssertionRoulette,-0.001
RaithSphere@NeosVR-Stuff,AssertionRoulette,-0.001
RealityVirtually2019@SoundSpace,AssertionRoulette,-0.001
RhubarbVR@RhubarbVR,AssertionRoulette,-0.001
RhubarbVR@RhubarbVR_Old,AssertionRoulette,-0.001
Rigaro@VRProEP,AssertionRoulette,-0.001
RussellXie7@Unity_Hololens_Dev,AssertionRoulette,0.0
S00177754@Project300,AssertionRoulette,-0.001
Saarg@Dungeon-VR,AssertionRoulette,-0.001
Saticmotion@Vivista,AssertionRoulette,-0.001
Sauceke@LoveMachine,AssertionRoulette,-0.001
SGNLA@unity-arkit-plugin,AssertionRoulette,-0.001
ShanguUncle@UnityChatSDK,AssertionRoulette,-0.001
SkinnyDevi@MU-VR-Experience,AssertionRoulette,-0.001
SMBenedict173@General-Anesthesia-Simulator,AssertionRoulette,45.289855072463766
SpaceVR-O1@Human,AssertionRoulette,-0.001
Team-on@UnityGameTemplate,AssertionRoulette,-0.001
Teamprojekt-SS2018@VR_Menschenstroeme,AssertionRoulette,-0.001
TheFitzZZ@DCS-Config-Manager,AssertionRoulette,-0.001
TomorrowTodayLabs@NewtonVR,AssertionRoulette,-0.001
TrevTV@DawnVR,AssertionRoulette,-0.001
TritonXR@VRUniverse,AssertionRoulette,-0.001
Twometer@twometer-vr,AssertionRoulette,-0.001
UMI3D@UMI3D-SDK,AssertionRoulette,42.586750788643535
Unity-Technologies@EditorXR,AssertionRoulette,64.28571428571429
Unity-Technologies@InputSystem,AssertionRoulette,43.956043956043956
Unity-Technologies@VRAlchemyLab,AssertionRoulette,-0.001
UniVR@GolfVR,AssertionRoulette,-0.001
VIRTUE-DBIS@virtual-exhibition-presenter,AssertionRoulette,-0.001
Vivek-sagar@WeCanTango,AssertionRoulette,-0.001
Vivero@Kerbal-VR,AssertionRoulette,-0.001
ViveSoftware@ViveInputUtility-Unity,AssertionRoulette,-0.001
